Item,Description,Qty,Price
AllPartsCopperShieldingTapeEP-4991-B00,Bulk roll of copper shielding take with conductive adhesive. One roll measuring 10 feet x 12 inches.,1,"TK6,200.00"
"AllParts1/16""HeatShrinkBulkPackEP-0074-B00","Heat Shrink Tubing, 1/16 inch I.D. X 2 feet Bulk Pack 20 feet.",1,"TK2,400.00"
"AllParts1/8""HeatShrinkBulkPackEP-0073-B00","Heat shrink tubing Bulk Pack 20 feet 1/8"".",1,"TK2,400.00"
AllPartsGoldHumbuckingScrewsGS-0012-002,"Humbucking Pickup Mounting Screws (4) Phillips, with Springs, Gold, #3-48 x 1-1/4"". Set of 4.",1,TK600.00
AllPartsBlackEVHD-TunaBP-2020-003,Black EVH D-TUNA Drop D Mechanism for Floyd Rose® Locking Tremolos,1,"TK7,500.00"
AllPartsGotohNickelFootballJackplateAP-0615-001,Gotoh Nickel Football Jackplate,1,TK600.00
SDP250kPotentiometer,Seymour Duncan 250k Potentiometer,1,"TK1,250.00"
CordobaGKStudioFlamencoElectro-Acoustic,Cordoba GK Studio Flamenco Electro-Acoustic Guitar with Original Gig Bag,1,"TK53,500.00"
DBZBARFMFRTR,DBZ Barchetta Transparent Red (BARFM-FR-TR),1,"TK65,000.00"
RocktronBoutiqueSeriesUnityFloorPedalTuner,Rocktron Boutique Series Unity Floor Pedal Tuner,1,"TK10,000.00"
Bass Pick,Jim Dunlop Lemmy Tin Pack,1,TK500.00
BreedlovePursuitNylon,Breedlove Pursuit Nylon Acoustic-Electric Guitar Natural with original gig bag,1,"TK40,500.00"
SWIntellitouchPT10,Intellitouch PT 10 Clip on Tuner,1,"TK3,500.00"
ReverendRonAshetonOrange,Reverend Ron Asheton Signature Guitar Orange with Original Hard Case,1,"TK85,000.00"
SDSH-12Black,Seymour Duncan SH-12 Screamin' Demon Black,1,"TK9,000.00"
SDSH10n-B,Seymour Duncan SH10 Full Shred Neck Black,1,"TK8,000.00"
SDSPB4,Seymour Duncan Precision Bass® Passive Steve Harris Signature SPB-4,1,"TK7,750.00"
Mic Pre,Manley Mono Microphone Preamplifier ,1,"TK190,000.00"
CarvinCTM100TubeCondenserMicrophone,Carvin CTM100 Tube Condenser Microphone,1,"TK45,000.00"
FulltoneGSN10SS,Fulltone Gold Standard 10' Cable Straight to Straight,1,"TK3,000.00"
FulltonePS,Fulltone Plimsoul,1,"TK17,500.00"
Fulltone70BC,Fulltone  70-BC pedal,1,"TK15,000.00"
Guitar Effects Processor,Line 6 POD HD500X Guitar Multi-Effects Processor,1,"TK48,000.00"
